MID,MDESC,Phân loại dịch vụ bậc 1,Phân loại dịch vụ bậc 2
905,Cài đặt lại mật khẩu cho User phụ,Smart Kids,Dịch vụ tài khoản Smart Kids
906,Cho phép User phụ đổi thiết bị khác,Smart Kids,Dịch vụ tài khoản Smart Kids
907,Chi tiết user Smart Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
908,Cập nhật thông tin User phụ,Smart Kids,Dịch vụ tài khoản Smart Kids
909,Tạo số điện thoại mới Smart Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
910,Xác thực tạo điện thoại mới Smart Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
911,Check và xác nhận điện thoại mới Smart Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
912,Lấy danh sách mối quan hệ của thằng cha,Smart Kids,Dịch vụ tài khoản Smart Kids
913,Lấy danh sách chức năng theo mối quan hệ,Smart Kids,Dịch vụ tài khoản Smart Kids
914,Lấy loại danh sách tài khoản như ý Smart Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
915,Lấy chi tiết tài khoản số đẹp như ý Smart Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
916,Tạo tài khoản như ý Smart Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
917,Nhận thông báo tk Smart Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
918,Đóng tk Smart Kids mở cif,Smart Kids,Dịch vụ tài khoản Smart Kids
919,Lấy danh sách chức năng theo Smrat Kids,Smart Kids,Dịch vụ tài khoản Smart Kids
951,Kiểm tra thông tin trước khi giao dịch chuyển tiền quốc tế,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
952,Lấy mục đích chuyển tiền quốc tế,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
953,Lấy danh sách tiền tệ chuyển tiền quốc tế ,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
954,Lấy danh sách quốc gia chuyển tiền quốc tế,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
955,Lấy căn cứ thanh toán,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
956,Tạo căn cứ thanh toán ,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
957,Lấy tỷ giá giao dịch ,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
958,Lấy phí giao dịch,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
959,Kiểm tra thông tin Iban,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
960,Lấy danh sách giao dịch chuyển tiền quốc tế,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
961,Lấy danh sách ngân hàng thụ hưởng,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
962,Hủy giao dịch,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
963,CTQT - Khởi tạo tạo tra soát,Chuyển tiền quốc tế,Dịch vụ tra soát giao dịch chuyển tiền quốc tế
964,Khởi tạo chuyển tiền quốc tế ,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
965,Xác thực chuyển tiền quốc tế ,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
966,Cập nhật tỷ giá mới,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
967,Khởi tạo chấp nhận tỷ giá,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
968,Xác thực chấp nhận tỷ giá,Chuyển tiền quốc tế,Dịch vụ giao dịch chuyển tiền quốc tế
